id,title,description,link,image_link,availability,price,sale_price,brand,gtin,mpn,identifier_exists,condition,google_product_category
1,"Eqqual Berry Bakuchiol Plumping Serum","Gentle bakuchiol anti‑aging serum for plump, smooth, glowing skin.",https://poshystore.com/eqqual-berry-bakuchiol-plumping-serum,https://poshystore.com/images/EQQUAL%20BERRY%20BAKUCHIOL%20Plumping%20Serum/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
2,"Eqqual Berry Glow Filter Vitamin Illuminating Serum","Vitamin glow serum for bright, even, “filter‑like” skin.",https://poshystore.com/eqqual-berry-glow-filter-vitamin-illuminating-serum,https://poshystore.com/images/EQQUAL%20BERRY%20GLOW%20FILTER%20VITAMIN%20illuminating%20Serum%20/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
3,"Eqqual Berry Lush Blush Nad+ Peptide Boosting Serum","Peptide and NAD+ booster for firmer, bouncier, younger‑looking skin.",https://poshystore.com/eqqual-berry-lush-blush-nad-plus-peptide-boosting-serum,https://poshystore.com/images/19%2025-30%203%20EQQUAL%20BERRY%20LUSH%20BLUSH%20NAD%2B%20PEPTIDE%20Boosting%20Serum%20B/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
4,"Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++","K‑beauty sunscreen with rice and probiotics, high SPF and zero white cast.",https://poshystore.com/beauty-of-joseon-relief-sun-rice-plus-probiotics-spf50-plus-pa-plus-plus-plus-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%3A%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B/1.png,in_stock,"20.00 JOD",,"BEAUTY OF JOSEON",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
5,"Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+","Ultra‑light aqua Korean SPF with rice and B5 for fresh, non‑sticky protection.",https://poshystore.com/beauty-of-joseon-relief-sun-aqua-fresh-rice-plus-b5-spf50-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B%20/1.png,in_stock,"20.00 JOD",,"BEAUTY OF JOSEON",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
6,"Axis-y Dark Spot Correcting Glow Serum","Niacinamide glow serum for dark spots, acne marks, and uneven tone.",https://poshystore.com/axis-y-dark-spot-correcting-glow-serum,https://poshystore.com/images/Axis-y%20Dark%20Spot%20Correcting%20Glow%20Serum%20/1.png,in_stock,"18.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
7,"Axis-y Vegan Collagen Eye serum","Complete Axis‑Y K‑beauty set for clearer, brighter, balanced skin.",https://poshystore.com/axis-y-vegan-collagen-eye-serum,https://poshystore.com/images/Axis-y%20Vegan%20Collagen%20Eye%20serum%20/1.png,in_stock,"18.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
8,"Axis-y package","Complete Axis‑Y K‑beauty set for clearer, brighter, balanced skin.",https://poshystore.com/axis-y-package,https://poshystore.com/images/Axis-y%20package/1.png,in_stock,"32.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
9,"Anua Azelaic Acid 10+ Hyaluron","Azelaic acid + hyaluronic treatment for clearer, calmer, hydrated skin.",https://poshystore.com/anua-azelaic-acid-10-plus-hyaluron,https://poshystore.com/images/Anua%20AZELAIC%20ACID%2010%2B%20HYALURON/1.jpeg,in_stock,"22.00 JOD",,Anua,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
10,"Anua Heartleaf 70 Daily Lotion","Lightweight heartleaf moisturizer to calm, hydrate, and balance skin.",https://poshystore.com/anua-heartleaf-70-daily-lotion,https://poshystore.com/images/ANUA%20HEARTLEAF%2070%20DAILY%20LOTION/1.jpeg,in_stock,"27.00 JOD",,Anua,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
11,"Anua Heartleaf Pore Control Cleansing Oil Mild","Mild heartleaf cleansing oil that melts makeup and clears pores.",https://poshystore.com/anua-heartleaf-pore-control-cleansing-oil-mild,https://poshystore.com/images/ANUA%20HEARTLEAF%20PORE%20CONTROL%20CLEANSING%20OIL%20MILD/1.jpeg,in_stock,"24.00 JOD",,Anua,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
12,"Anua Heartleaf Quercetinol Pore Deep Cleansing Foam","Deep pore cleansing foam with heartleaf and Quercetinol™ for fresh, clear skin.",https://poshystore.com/anua-heartleaf-quercetinol-pore-deep-cleansing-foam,https://poshystore.com/images/ANUA%20HEARTLEAF%20QUERCETINOL%20PORE%20DEEP%20CLEANSING%20FOAM/1.png,in_stock,"18.00 JOD",,Anua,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
13,"Madagascar Centella Double Cleansing Duo","Centella‑infused double cleansing duo for gentle, deep daily cleansing.",https://poshystore.com/madagascar-centella-double-cleansing-duo,https://poshystore.com/images/MADAGASCAR%20CENTELLA%20DOUBLE%20CLEANSING%20DUO/1.jpg,in_stock,"30.00 JOD",,Centella,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
14,"Dr.althea To Be Youthful Eye Serum","Lightweight youth‑boosting eye serum for hydrated, smoother under‑eyes.",https://poshystore.com/dralthea-to-be-youthful-eye-serum,https://poshystore.com/images/26%2039-45%2014%20DR.ALTHEA%20TO%20BE%20YOUTHFUL%20EYE%20SERUM%20/1.png,in_stock,"18.00 JOD",,Dr.althea,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
15,"Dr. Althea 147 Barrier Cream","Rich barrier‑repair cream for deeply hydrated, comforted dry skin.",https://poshystore.com/dr-althea-147-barrier-cream,https://poshystore.com/images/DR.%20ALTHEA%20147%20BARRIER%20CREAM%20FOR%20NORMAL%20TO%20DRY%20SKIN%20TYPES%20/1.png,in_stock,"25.00 JOD",,Dr.althea,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
16,"Dr. Althea 345 Relief Cream","Soothing relief cream to calm redness and strengthen the skin barrier.",https://poshystore.com/dr-althea-345-relief-cream,https://poshystore.com/images/feed/dr-althea-345-relief-cream.png,in_stock,"25.00 JOD",,Dr.althea,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
17,"DR. ALTHEA 345 relief CREAM duo pack","Soothing relief cream to calm redness and strengthen the skin barrier.",https://poshystore.com/dr-althea-345-relief-cream-duo-pack,https://poshystore.com/images/feed/dr-althea-345-relief-cream-duo-pack.png,out_of_stock,"45.00 JOD",,Dr.althea,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
18,"Seoul 1988 Eye Cream Retinal Liposome","High‑performance retinal eye cream for smoother, firmer, brighter eyes.",https://poshystore.com/seoul-1988-eye-cream-retinal-liposome,https://poshystore.com/images/SEOUL%201988%20EYE%20CREAM%20RETINAL%20LIPOSOME/1.jpeg,in_stock,"19.00 JOD",,"Seoul 1988",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
19,"Somebymi Galactomyces Brightening Trial Kit","Mini brightening kit with galactomyces for radiant, refined, even‑toned skin.",https://poshystore.com/somebymi-galactomyces-brightening-trial-kit,https://poshystore.com/images/14%2019-24%2019%20SOMEBYMI%20GALACTOMYCES%20BRIGHTENING%20TRIAL%20KIT%20/1.png,in_stock,"19.00 JOD",,"SOME BY MI",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
20,"Somebymi Retinol Intense Eye Cream","Triple‑action retinol eye cream for wrinkles, firmness, and brightness.",https://poshystore.com/somebymi-retinol-intense-eye-cream,https://poshystore.com/images/SOMEBYMI%20RETINOL%20INTENSE%20ADVANCED%20TRIPLE%20ACTION%20EYE%20CREAM%20/1.png,in_stock,"20.00 JOD",,"SOME BY MI",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
21,"Medicube Red Acne Body Peeling Shot","High‑strength body exfoliant for acne, rough texture, and clogged pores.",https://poshystore.com/medicube-red-acne-body-peeling-shot,https://poshystore.com/images/medicube%20RED%20ACNE%20BODY%20PEELING%20SHOT%20AHA%2BBHA%2BPHA%2BLHA%2032%25/1.png,in_stock,"25.00 JOD",,Medicube,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
22,"Medicube Collagen Night Wrapping Mask","Overnight collagen sleeping mask for firm, plump, deeply hydrated skin.",https://poshystore.com/medicube-collagen-night-wrapping-mask,https://poshystore.com/images/19%2025-30%2022%20medicube%20COLLAGEN%20NIGHT%20WRAPPING%20MASK%20/1.png,in_stock,"20.00 JOD",,Medicube,,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
23,"The Ordinary Lip & Lash Set","The Ordinary sets featuring cult‑favorite serums and treatments",https://poshystore.com/the-ordinary-lip-and-lash-set,https://poshystore.com/images/The%20Ordinary%20Lip%20%26%20Lash%20Set/1.png,in_stock,"22.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
24,"The Ordinary Mini Icons Set","Travel‑size The Ordinary sets featuring cult‑favorite serums and treatments.",https://poshystore.com/the-ordinary-mini-icons-set,https://poshystore.com/images/The%20Ordinary%20Mini%20Icons%20Set/1.png,in_stock,"30.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
25,"The Ordinary Niacinamide 10% + Zinc 1%","Best‑selling niacinamide serum for oil control, pores, and clearer skin.",https://poshystore.com/the-ordinary-niacinamide-10-percent-plus-zinc-1-percent,https://poshystore.com/images/21%2030-35%2025%20The%20Ordinary.%20Niacinamide%2010%25%20%2B%20Zinc%201%25%20/1.png,out_of_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
26,"The Ordinary Caffeine Solution 5%","Caffeine eye serum to reduce puffiness and dark circles’ appearance.",https://poshystore.com/the-ordinary-caffeine-solution-5-percent,https://poshystore.com/images/SerumCaffeine%20Solution%205%25%20%2B%20EGCG%20Eye%20Serum%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
27,"The Ordinary Vitamin C Suspension 23%","High‑strength vitamin C cream for brightening and anti‑aging.",https://poshystore.com/the-ordinary-vitamin-c-suspension-23-percent,https://poshystore.com/images/The%20Ordinary.%20Vitamin%20C%20Suspension%2023%25%20%2B%20HA%20Spheres%202%25/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
28,"The Ordinary Hyaluronic Acid 2% + B5","Hydrating hyaluronic acid serum for plump, dewy, well‑moisturized skin.",https://poshystore.com/the-ordinary-hyaluronic-acid-2-percent-plus-b5,https://poshystore.com/images/12%2015-18%2028%20The%20Ordinary.%20Hyaluronic%20Acid%202%25%20%2B%20B5%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
