id,title,description,link,image_link,availability,price,sale_price,brand,gtin,mpn,identifier_exists,condition,google_product_category
1,"EQQUAL BERRY BAKUCHIOL Plumping Serum","Gentle bakuchiol anti‑aging serum for plump, smooth, glowing skin.",https://poshystore.com/eqqual-berry-bakuchiol-plumping-serum,https://poshystore.com/images/EQQUAL%20BERRY%20BAKUCHIOL%20Plumping%20Serum/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty"
2,"EQQUAL BERRY GLOW FILTER VITAMIN illuminating Serum","Vitamin glow serum for bright, even, “filter‑like” skin.",https://poshystore.com/eqqual-berry-glow-filter-vitamin-illuminating-serum,https://poshystore.com/images/EQQUAL%20BERRY%20GLOW%20FILTER%20VITAMIN%20illuminating%20Serum%20/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty"
3,"EQQUAL BERRY LUSH BLUSH NAD+ PEPTIDE Boosting Serum","Peptide and NAD+ booster for firmer, bouncier, younger‑looking skin.",https://poshystore.com/eqqual-berry-lush-blush-nad-plus-peptide-boosting-serum,https://poshystore.com/images/19%2025-30%203%20EQQUAL%20BERRY%20LUSH%20BLUSH%20NAD%2B%20PEPTIDE%20Boosting%20Serum%20B/1.png,in_stock,"25.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty"
4,"Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++","K‑beauty sunscreen with rice and probiotics, high SPF and zero white cast.",https://poshystore.com/beauty-of-joseon-relief-sun-rice-plus-probiotics-spf50-plus-pa-plus-plus-plus-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%3A%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B/1.png,in_stock,"20.00 JOD",,"BEAUTY OF JOSEON",,,no,new,"Health & Beauty"
5,"Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+","Ultra‑light aqua Korean SPF with rice and B5 for fresh, non‑sticky protection.",https://poshystore.com/beauty-of-joseon-relief-sun-aqua-fresh-rice-plus-b5-spf50-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B%20/1.png,in_stock,"20.00 JOD",,"BEAUTY OF JOSEON",,,no,new,"Health & Beauty"
6,"Axis-y Dark Spot Correcting Glow Serum","Niacinamide glow serum for dark spots, acne marks, and uneven tone.",https://poshystore.com/axis-y-dark-spot-correcting-glow-serum,https://poshystore.com/images/Axis-y%20Dark%20Spot%20Correcting%20Glow%20Serum%20/1.png,in_stock,"18.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty"
7,"Axis-y Vegan Collagen Eye serum","Complete Axis‑Y K‑beauty set for clearer, brighter, balanced skin.",https://poshystore.com/axis-y-vegan-collagen-eye-serum,https://poshystore.com/images/Axis-y%20Vegan%20Collagen%20Eye%20serum%20/1.png,in_stock,"18.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty"
8,"Axis-y package","Complete Axis‑Y K‑beauty set for clearer, brighter, balanced skin.",https://poshystore.com/axis-y-package,https://poshystore.com/images/hero-beauty-1.png,in_stock,"32.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty"
9,"Anua AZELAIC ACID 10+ HYALURON","Azelaic acid + hyaluronic treatment for clearer, calmer, hydrated skin.",https://poshystore.com/anua-azelaic-acid-10-plus-hyaluron,https://poshystore.com/images/hero-beauty-1.png,in_stock,"22.00 JOD",,Anua,,,no,new,"Health & Beauty"
10,"Anua Heartleaf 70 Daily Lotion","Lightweight heartleaf moisturizer to calm, hydrate, and balance skin.",https://poshystore.com/anua-heartleaf-70-daily-lotion,https://poshystore.com/images/hero-beauty-1.png,in_stock,"27.00 JOD",,Anua,,,no,new,"Health & Beauty"
11,"ANUA HEARTLEAF PORE CONTROL CLEANSING OIL MILD","Mild heartleaf cleansing oil that melts makeup and clears pores.",https://poshystore.com/anua-heartleaf-pore-control-cleansing-oil-mild,https://poshystore.com/images/ANUA%20HEARTLEAF%20PORE%20CONTROL%20CLEANSING%20OIL%20MILD/1.png,in_stock,"24.00 JOD",,Anua,,,no,new,"Health & Beauty"
12,"Anua Heartleaf Quercetinol Pore Deep Cleansing Foam","Deep pore cleansing foam with heartleaf and Quercetinol™ for fresh, clear skin.",https://poshystore.com/anua-heartleaf-quercetinol-pore-deep-cleansing-foam,https://poshystore.com/images/ANUA%20HEARTLEAF%20QUERCETINOL%20PORE%20DEEP%20CLEANSING%20FOAM/1.png,in_stock,"18.00 JOD",,Anua,,,no,new,"Health & Beauty"
13,"MADAGASCAR CENTELLA DOUBLE CLEANSING DUO","Centella‑infused double cleansing duo for gentle, deep daily cleansing.",https://poshystore.com/madagascar-centella-double-cleansing-duo,https://poshystore.com/images/hero-beauty-1.png,in_stock,"30.00 JOD",,Centella,,,no,new,"Health & Beauty"
14,"Dr. Althea To Be Youthful Eye Serum","Lightweight youth‑boosting eye serum for hydrated, smoother under‑eyes.",https://poshystore.com/dralthea-to-be-youthful-eye-serum,https://poshystore.com/images/26%2039-45%2014%20DR.ALTHEA%20TO%20BE%20YOUTHFUL%20EYE%20SERUM%20/1.png,in_stock,"18.00 JOD",,Dr.althea,,,no,new,"Health & Beauty"
15,"DR. ALTHEA 147 BARRIER CREAM","Rich barrier‑repair cream for deeply hydrated, comforted dry skin.",https://poshystore.com/dr-althea-147-barrier-cream,https://poshystore.com/images/DR.%20ALTHEA%20147%20BARRIER%20CREAM%20FOR%20NORMAL%20TO%20DRY%20SKIN%20TYPES%20/1.png,in_stock,"25.00 JOD",,Dr.althea,,,no,new,"Health & Beauty"
16,"DR. ALTHEA 345 relief CREAM","Soothing relief cream to calm redness and strengthen the skin barrier.",https://poshystore.com/dr-althea-345-relief-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"25.00 JOD",,Dr.althea,,,no,new,"Health & Beauty"
17,"DR. ALTHEA 345 relief CREAM duo pack","Soothing relief cream to calm redness and strengthen the skin barrier.",https://poshystore.com/dr-althea-345-relief-cream-duo-pack,https://poshystore.com/images/DR.%20ALTHEA%20345%20relief%20CREAM%20FOR%20ALL%20SKIN%20TYPES%20/1.png,in_stock,"45.00 JOD",,Dr.althea,,,no,new,"Health & Beauty"
